index	score	id
850	2.000	CDC5L
851	2.000	CDH11
852	2.000	CEP110
853	2.000	CHD9
854	2.000	CHKA
855	2.000	CHKB
856	2.000	CNBP
857	2.000	CNTN5
858	2.000	CPT1A
859	2.000	CRKL
860	2.000	CSF3R
861	2.000	CSNK1A1L
862	2.000	CSNK1D
863	2.000	CSNK1E
864	2.000	CYTSB
865	2.000	DAXX
866	2.000	DCLK2
867	2.000	DEK
868	2.000	DGKQ
869	2.000	DHFR
870	2.000	DICER1
871	2.000	DLL4
872	2.000	DNAH8
873	2.000	DNMT3A
874	2.000	DUSP10
875	2.000	DUSP12
876	2.000	DUSP9
877	2.000	DUX4
878	2.000	EDNRA
879	2.000	EEF1A1
880	2.000	EHMT1
881	2.000	EIF2AK1
882	2.000	EIF2AK2
883	2.000	EIF2S3
884	2.000	EML4
885	2.000	ERC1
886	2.000	ERCC8
887	2.000	ESRRA
888	2.000	ETNK1
889	2.000	FBXO24
890	2.000	FBXW11
891	2.000	FBXW2
892	2.000	FCRL4
893	2.000	FDPS
894	2.000	FEV
895	2.000	FGFR1OP
896	2.000	FKBP1A
897	2.000	FNBP1
898	2.000	FUS
899	2.000	FZD1
900	2.000	GNA12
901	2.000	GNB2
902	2.000	GNE
903	2.000	GNG10
904	2.000	GRIA4
905	2.000	GTPBP4
906	2.000	HCK
907	2.000	HDAC10
908	2.000	HDAC5
909	2.000	HDAC8
910	2.000	HDAC9
911	2.000	HGS
912	2.000	HIST1H4I
913	2.000	HLA-DRB9
914	2.000	HSP90B1
915	2.000	HSPA1A
916	2.000	HSPA1B
917	2.000	IFNA2
918	2.000	IKZF1
919	2.000	IKZF3
920	2.000	IL21R
921	2.000	INPP5F
922	2.000	IPMK
923	2.000	IRAK1
924	2.000	IRF4
925	2.000	ITIH5L
926	2.000	ITPKB
927	2.000	JAG2
928	2.000	JAK1
929	2.000	JAZF1
930	2.000	KDM5B
931	2.000	KIAA0999
932	2.000	KIAA1618
933	2.000	KIAA1804
934	2.000	KSR2
935	2.000	LASP1
936	2.000	LDLR
937	2.000	LMO1
938	2.000	LNX2
939	2.000	LPP
940	2.000	LRGUK
941	2.000	LRRK2
942	2.000	LYL1
943	2.000	MAGI1
944	2.000	MAP3K15
945	2.000	MAP3K3
946	2.000	MAP3K4
947	2.000	MAP3K5
948	2.000	MAP4K2
949	2.000	MAP4K3
950	2.000	MAPK13
951	2.000	MAPK8IP3
952	2.000	MARK1
953	2.000	MAST1
954	2.000	MAX
955	2.000	MCM3AP
956	2.000	MDS1
957	2.000	MGC42105
958	2.000	MITF
959	2.000	MKNK2
960	2.000	MLF1
961	2.000	MLLT1
962	2.000	MLLT10
963	2.000	MLLT3
964	2.000	MLLT6
965	2.000	MNX1
966	2.000	MOBKL2A
967	2.000	MSH3
968	2.000	MSI2
969	2.000	MTCP1
970	2.000	MVK
971	2.000	MYLK4
972	2.000	MYST2
973	2.000	N4BP2
974	2.000	NACA
975	2.000	NAGK
976	2.000	NEK2
977	2.000	NEK9
978	2.000	NIN
979	2.000	NLRP1
980	2.000	NLRP3
981	2.000	NONO
982	2.000	NR0B2
983	2.000	NR4A2
984	2.000	NR4A3
985	2.000	NR5A1
986	2.000	NTSR1
987	2.000	ODZ1
988	2.000	OMD
989	2.000	PATZ1
990	2.000	PAXIP1
991	2.000	PBX1
992	2.000	PDE5A
993	2.000	PDK1
994	2.000	PER1
995	2.000	PGK2
996	2.000	PGRMC1
997	2.000	PGRMC2
998	2.000	PHOSPHO1
999	2.000	PHOX2B
1000	2.000	PHPT1
1001	2.000	PICALM
1002	2.000	PIK3C2A
1003	2.000	PIK3C2G
